[06/Jun/2024 10:24:26] INFO [django.utils.autoreload:668] Watching for file changes with StatReloader
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:330] Waiting for apps ready_event.
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:342] Apps ready_event triggered. Sending autoreload_started signal.
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:296] Watching dir /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/rest_framework/templates with glob **/*.
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:296] Watching dir /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/tickets_app/templates with glob **/*.
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:296] Watching dir /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/concerts_app/templates with glob **/*.
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:296] Watching dir /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/festivales_app/templates with glob **/*.
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:296] Watching dir /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/users_app/templates with glob **/*.
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:296] Watching dir /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/templates with glob **/*.
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:296] Watching dir /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/locale with glob **/*.mo.
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:296] Watching dir /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/rest_framework/locale with glob **/*.mo.
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:296] Watching dir /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/whitenoise/runserver_nostatic/locale with glob **/*.mo.
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:296] Watching dir /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/api/locale with glob **/*.mo.
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:296] Watching dir /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/concerts_app/locale with glob **/*.mo.
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:296] Watching dir /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/tickets_app/locale with glob **/*.mo.
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:296] Watching dir /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/users_app/locale with glob **/*.mo.
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:296] Watching dir /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/festivales_app/locale with glob **/*.mo.
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.11/email/headerregistry.py first seen with mtime 1708879286.0
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/django/db/backends/base/schema.py first seen with mtime 1716543478.3219872
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/django/core/cache/backends/filebased.py first seen with mtime 1716543478.2979872
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/rest_framework/templatetags/rest_framework.py first seen with mtime 1711269433.3375504
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.11/typing.py first seen with mtime 1708879286.0
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/concerts_app/urls.py first seen with mtime 1717496034.0451796
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.11/selectors.py first seen with mtime 1708879286.0
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/festivales_app/urls.py first seen with mtime 1717490718.109467
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/django/utils/timezone.py first seen with mtime 1716543478.4059868
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/sqlparse/formatter.py first seen with mtime 1711269431.5536087
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/django/template/__init__.py first seen with mtime 1716543478.3859868
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.11/getpass.py first seen with mtime 1708879286.0
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/django/contrib/auth/apps.py first seen with mtime 1716543477.8299887
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /usr/lib/python3.11/email/header.py first seen with mtime 1708879286.0
[06/Jun/2024 10:24:26] DEBUG [django.utils.autoreload:394] File /home/usuario/Escritorio/TFG/proyectointegrado-sergioguijarroc/.venv/lib/python3.11/site-packages/django/core/files/temp.py first seen with mtime 1716543478.3019872
